UniqueID,GRE,TOEFL,SOP,LOR,CGPA,Research,Discipline,Admit,GPA1,Year
356,317,106,2,3.5,3.28,no,Humanities and Soc Science,Accepted,3.086,2021
357,327,109,3.5,4,3.54,yes,Applied Science,Accepted,2.992,2021
358,301,104,3.5,3.5,3.1879999999999997,yes,Humanities and Soc Science,Accepted,2.844,2021
359,314,105,2.5,2,3.088,no,Humanities and Soc Science,Accepted,2.391,2021
360,321,107,2,1.5,3.408,no,Humanities and Soc Science,Accepted,3.056,2021
361,322,110,4,5,3.4880000000000004,yes,Applied Science,Accepted,2.656,2021
362,334,116,4,3.5,3.848,yes,Science & Eng,Accepted,3.797,2021
363,338,115,4.5,5,3.724,yes,Science & Eng,Accepted,3.284,2021
364,306,103,2.5,3,3.376,no,Humanities and Soc Science,Accepted,2.977,2021
365,313,102,3.5,4,3.592,yes,Applied Science,Accepted,3.245,2021
366,330,114,4.5,3,3.7,yes,Science & Eng,Accepted,3.509,2021
367,320,104,3.5,4.5,3.368,yes,Applied Science,Accepted,3.19,2021
368,311,98,1,2.5,3.016,no,Humanities and Soc Science,Rejected,NA,2021
369,298,92,2,2,3.184,no,Humanities and Soc Science,Rejected,NA,2021
370,301,98,2,3,3.244,yes,Humanities and Soc Science,Accepted,2.658,2021
371,310,103,2.5,2.5,3.3280000000000003,no,Humanities and Soc Science,Accepted,2.937,2021
372,324,110,3.5,3,3.72,yes,Applied Science,Accepted,3.462,2021
373,336,119,4.5,4,3.88,yes,Science & Eng,Accepted,3.402,2021
374,321,109,3,3,3.4479999999999995,yes,Applied Science,Accepted,3.121,2021
375,315,105,2,2.5,3.092,no,Humanities and Soc Science,Rejected,NA,2021
376,304,101,2,2.5,3.096,no,Humanities and Soc Science,Rejected,NA,2021
377,297,96,2.5,2,3.004,no,Humanities and Soc Science,Rejected,NA,2021
378,290,100,1.5,2,3.056,no,Humanities and Soc Science,Rejected,NA,2021
379,303,98,2,2.5,3.092,no,Humanities and Soc Science,Rejected,NA,2021
380,311,99,2.5,3,3.404,yes,Humanities and Soc Science,Accepted,3.443,2021
381,322,104,3.5,4,3.568,yes,Applied Science,Accepted,3.407,2021
382,319,105,3,3.5,3.5,yes,Applied Science,Accepted,3.409,2021
383,324,110,4.5,4,3.692,yes,Science & Eng,Accepted,3.194,2021
384,300,100,3,3.5,3.336,no,Applied Science,Rejected,NA,2021
385,340,113,5,5,3.928,yes,Science & Eng,Accepted,3.846,2021
386,335,117,5,5,3.96,yes,Science & Eng,Accepted,3.635,2021
387,302,101,2.5,3.5,3.2159999999999997,no,Humanities and Soc Science,Rejected,NA,2021
388,307,105,2,3.5,3.272,no,Humanities and Soc Science,Rejected,NA,2021
389,296,97,1.5,2,3.152,no,Humanities and Soc Science,Rejected,NA,2021
390,320,108,3.5,4,3.408,yes,Applied Science,Accepted,2.932,2021
391,314,102,2,2.5,3.3280000000000003,no,Humanities and Soc Science,Rejected,NA,2021
392,318,106,2,3,3.492,no,Applied Science,Accepted,3.302,2021
393,326,112,4,3.5,3.68,yes,Science & Eng,Accepted,3.585,2021
394,317,104,3,3,3.536,no,Humanities and Soc Science,Accepted,3.284,2021
395,329,111,4.5,4,3.724,yes,Science & Eng,Accepted,3.389,2021
396,324,110,3.5,3.5,3.648,yes,Applied Science,Accepted,3.15,2021
397,325,107,3,3.5,3.676,yes,Applied Science,Accepted,3.681,2021
398,330,116,5,4.5,3.812,yes,Science & Eng,Accepted,3.508,2021
399,312,103,3.5,4,3.5439999999999996,no,Applied Science,Accepted,3.088,2021
400,333,117,5,4,3.896,yes,Science & Eng,Accepted,3.756,2021
